City,State,Requires De-Escalation,Bans Chokeholds and Strangleholds,Duty to Intervene,Requires Warning Before Shooting,Restricts Shooting at Moving Vehicles,Requires Comprehensive Reporting,Requires Exhaust All Other Means Before Shooting,Has Use of Force Continuum
Abbeville,LA,0,1,0,1,0,0,0,0
Acton,MA,0,0,1,1,1,1,0,1
Akron,OH,0,1,1,1,0,0,0,0
Alameda,CA,0,1,1,1,0,0,0,0
Albany,OR,1,1,1,0,1,1,0,1
Albany,GA,0,0,0,1,1,0,0,1
Albemarle,NC,1,0,1,0,0,1,1,1
Albuquerque,NM,1,1,1,1,1,1,0,0
Alexandria,VA,0,1,1,0,1,0,1,1
Alhambra,CA,1,1,1,1,0,0,0,0
Allentown,PA,1,1,0,1,0,0,0,1
Anaheim,CA,1,1,1,1,0,0,0,1
Anchorage,AK,0,0,0,1,1,0,0,1
Ann Arbor,MI,0,0,1,0,0,1,0,1
Antioch,CA,0,1,1,1,0,0,0,0
Appleton,WI,1,0,1,1,0,0,0,1
Arcadia,CA,1,1,1,1,0,0,0,0
Arlington,TX,1,1,1,1,0,1,1,1
Arlington County,VA,1,1,1,1,0,1,1,1
Arroyo Grande,CA,0,1,1,1,0,0,0,0
Arvin,CA,1,1,1,0,0,0,0,0
Atlanta,GA,1,1,1,1,0,1,0,1
Atwater,CA,1,1,1,1,0,0,0,0
Auburn,NY,1,1,1,1,0,0,0,0
Auburn,CA,0,1,1,1,0,0,0,1
Aurora,CO,1,1,1,1,1,1,1,1
Austin,TX,1,1,1,0,0,0,0,1
Azusa,CA,1,1,1,1,0,0,0,0
Bainbridge Island,WA,1,1,1,1,0,0,1,0
Bakersfield,CA,1,1,1,1,0,0,0,0
Baltimore,MD,1,1,1,0,1,1,1,0
Baltimore County,MD,1,1,1,1,0,0,1,1
Bangor,ME,1,1,1,0,0,0,0,1
Barstow,CA,1,1,1,1,0,0,0,0
Baton Rouge,LA,0,1,1,1,0,0,1,1
Bay City,MI,0,1,1,1,0,0,0,1
Beaverton,OR,1,1,1,1,0,1,0,1
Bellevue,WA,0,0,0,0,0,1,0,0
Bellingham,WA,1,1,1,0,0,0,1,0
Belmont,CA,1,1,1,1,0,0,0,0
Beloit,WI,0,0,1,1,0,0,0,0
Berkeley,CA,0,1,1,1,0,0,0,1
Bethlehem,PA,0,1,1,1,0,1,0,0
Beverly Hills,CA,0,1,1,1,0,0,1,1
Bexley,OH,1,1,1,1,1,1,1,1
Birmingham,AL,0,1,1,0,0,0,0,1
Bloomfield,NJ,1,1,1,1,1,1,1,1
Boca Raton,FL,1,1,1,0,0,0,0,1
Boise,ID,1,0,0,1,0,0,0,0
Boston,MA,1,1,1,0,0,0,1,1
Bothell,WA,1,1,1,1,0,1,1,0
Boulder,CO,1,1,1,1,0,1,1,1
Brawley,CA,1,1,1,1,0,0,0,1
Brea,CA,0,1,1,1,0,0,0,0
Brentwood,CA,0,1,0,0,0,0,0,0
Brick,NJ,1,1,1,1,1,1,1,1
Bridgeport,CT,1,1,1,1,0,1,0,1
Bridgewater,NJ,1,1,1,1,1,1,1,1
Brookline,MA,1,0,1,1,0,0,0,1
Brooklyn Center,MN,0,1,1,0,0,0,0,0
Broward Sheriff'S Office,FL,1,0,0,1,1,1,0,1
