"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,1117,2023010053907,8910.0,2023000011171,40201,4,1,8910.0,0,2,19,6,2,200,0,0,6,65,1,12,4300,1,11
2023,202301,1441,2023010068130,5832.0,2023000014411,140401,4,1,5832.0,0,2,49,6,6,620,0,0,6,63,1,10,7000,1,11
2023,202301,2899,2023010141372,8748.0,2023000028991,210101,4,1,8748.0,0,2,20,6,2,200,0,0,6,65,1,10,10000,1,11
2023,202301,3709,2023010176996,7290.0,2023000037091,10001,4,1,7290.0,0,2,18,6,1,100,0,0,6,65,1,10,6000,1,11
2023,202301,4033,2023000024122,5022.0,2023000040331,220101,1,1,5184.0,0,2,60,1,8,802,0,0,8,81,1,10,76000,1,11
2023,202301,4195,2023000035351,9072.0,2023000041951,140301,1,2,8100.0,0,2,59,1,9,982,0,0,4,40,1,10,5000,1,11
2023,202301,4357,2023000045786,28512.0,2023000043571,150101,1,1,28512.0,1,2,44,6,1,100,0,0,10,101,1,10,75000,1,11
2023,202301,4519,2023000057100,11502.0,2023000045191,270101,1,2,12312.0,1,2,40,1,8,802,0,0,7,71,1,10,44700,1,11
2023,202301,4519,2023000057100,11502.0,2023000045191,270101,1,3,14904.0,0,1,18,6,1,100,0,0,5,50,1,10,7600,1,11
2023,202301,4519,2023000057100,11502.0,2023000045191,270101,1,4,15390.0,1,1,59,1,1,100,0,0,6,64,1,10,13400,1,11
2023,202301,4843,2023000078518,14094.0,2023000048431,30001,1,1,14094.0,0,1,65,5,1,100,0,0,6,63,1,10,37000,1,11
2023,202301,5005,2023000088574,16848.0,2023000050051,230001,1,1,16848.0,1,1,39,1,1,100,0,0,10,101,1,10,73000,1,11
2023,202301,5005,2023000088574,16848.0,2023000050051,230001,1,2,18306.0,1,2,32,1,1,100,0,0,8,81,1,10,50000,1,11
2023,202301,5167,2023000100261,18954.0,2023000051671,60001,1,1,18792.0,1,1,48,1,7,700,4,412,1,17,1,10,0,1,11
2023,202301,5329,2023000111028,11988.0,2023000053291,20001,1,1,11826.0,0,1,54,1,1,100,0,0,8,81,1,10,5000,2,20
2023,202301,5329,2023000111028,11988.0,2023000053291,20001,1,2,17010.0,0,2,42,1,1,100,0,0,10,101,1,10,35000,2,20
2023,202301,5815,2023000140822,9558.0,2023000058151,10001,1,2,12636.0,0,2,51,4,1,100,0,0,6,63,1,10,4200,1,11
2023,202301,6139,2023000161697,17658.0,2023000061391,280301,1,1,17658.0,0,1,27,1,8,826,0,0,6,63,1,10,47000,2,20
2023,202301,6301,2023000173930,9882.0,2023000063011,140101,1,2,9072.0,2,2,42,1,6,610,0,0,8,81,1,10,43000,1,11
2023,202301,6625,2023000196235,20412.0,2023000066251,10001,1,1,20412.0,1,1,41,4,1,100,0,0,2,26,1,10,46000,1,11
2023,202301,6625,2023000196235,20412.0,2023000066251,10001,1,2,17010.0,0,2,21,6,1,100,0,0,7,71,1,10,21800,1,11
2023,202301,6787,2023000208099,14418.0,2023000067871,140401,1,1,14580.0,2,1,38,1,1,100,0,0,10,101,1,10,480000,1,11
2023,202301,7111,2023000230092,9720.0,2023000071111,60001,1,1,9882.0,1,2,52,1,1,100,0,0,11,114,1,10,108000,1,11
2023,202301,7111,2023000230092,9720.0,2023000071111,60001,1,2,5832.0,1,1,52,1,1,100,0,0,6,63,1,10,50000,1,11
2023,202301,7111,2023000230092,9720.0,2023000071111,60001,1,3,13770.0,0,2,23,6,1,100,0,0,6,63,1,10,16500,1,11
2023,202301,7273,2023000242202,3402.0,2023000072731,10001,1,1,3402.0,0,2,56,4,1,100,0,0,6,63,1,10,23000,1,11
2023,202301,7435,2023000252865,10530.0,2023000074351,140401,1,1,10692.0,2,1,46,1,1,100,0,0,7,71,1,10,480000,1,11
2023,202301,7921,2023000286376,16524.0,2023000079211,210101,1,1,16362.0,0,1,26,6,1,100,0,0,10,101,1,10,80000,1,11
2023,202301,8083,2023000296903,40014.0,2023000080831,70001,1,1,39852.0,0,1,28,6,1,100,0,0,6,63,1,10,55000,1,11
2023,202301,8083,2023000296903,40014.0,2023000080831,70001,1,2,58158.0,0,1,27,6,1,100,0,0,6,63,1,10,25200,1,11
2023,202301,8245,2023000308463,9234.0,2023000082451,250001,1,2,28674.0,0,2,59,4,1,100,0,0,7,71,1,10,40000,1,11
2023,202301,8731,2023000339995,8100.0,2023000087311,140401,1,1,8100.0,2,1,43,1,1,100,0,0,11,116,1,10,115000,1,11
